question,answer,passage
total expenditure in the us is equal to consumption expenditure plus investment,True,"In economics, aggregate expenditure (AE) is a measure of national income. Aggregate expenditure is defined as the current value of all the finished goods and services in the economy. The aggregate expenditure is thus the sum total of all the expenditures undertaken in the economy by the factors during a given time period. It refers to the expenditure incurred on consumer goods, planned investment and the expenditure made by the government in the economy. In an open economy scenario, the aggregate expenditure also includes the difference between the exports and the imports."
is john smith still alive in pocahontas 2,True,"In London, John Smith is ambushed by a group of soldiers with a warrant for his arrest and presumed dead in the ensuing confrontation; Governor Ratcliffe has lied to King James (being a personal friend of the King) and framed Smith as the traitor from the first film in a plot to declare war against the Powhatan Nation and get ahold of the gold he still believes them to possess, all while avoiding punishment for his own crimes. In order to prevent this, the King sends a young diplomat, John Rolfe, to bring Chief Powhatan to England for negotiations. In the New World, Pocahontas, Powhatan's daughter, mourns John Smith's death but is eventually able to move on. John Rolfe soon arrives, greeted by English civilians (who by now have settled in Jamestown) and a curious Pocahontas. Rolfe eventually speaks with Powhatan, but he refuses to accompany him to England, so Pocahontas goes in her father's stead, believing that she can bring about peace between the two nations. Powhatan sends a bodyguard, Uttamatomakkin (Uti) to accompany Pocahontas. Rolfe and Pocahontas have a rocky start, but gradually warm up to each other."
is a naturalized citizen the same as a us citizen,True,"U.S. citizenship is usually acquired by birth when a child is born in the territory of the United States. In addition to U.S. states, this includes the District of Columbia, Guam, Puerto Rico, the Northern Mariana Islands and the U.S. Virgin Islands. Citizenship, however, was not specified in the original Constitution. In 1868, the Fourteenth Amendment specifically defined persons who were either born or naturalized in the United States and subject to its jurisdiction as citizens. All babies born in the United States--except those born to enemy aliens in wartime or the children of foreign diplomats--enjoy U.S. citizenship under the Supreme Court's long-standing interpretation of the Fourteenth Amendment. The amendment states: ``All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside.'' There remains dispute as to who is ``subject to the jurisdiction'' of the United States at birth."
does every wounded soldier get a purple heart,True,"The Purple Heart is awarded in the name of the President of the United States to any member of the Armed Forces of the United States who, while serving under competent authority in any capacity with one of the U.S. Armed Services after April 5, 1917, has been wounded or killed. Specific examples of services which warrant the Purple Heart include any action against an enemy of the United States; any action with an opposing armed force of a foreign country in which the Armed Forces of the United States are or have been engaged; while serving with friendly foreign forces engaged in an armed conflict against an opposing armed force in which the United States is not a belligerent party; as a result of an act of any such enemy of opposing armed forces; or as the result of an act of any hostile foreign force. After March 28, 1973, it may be awarded as a result of an international terrorist attack against the United States or a foreign nation friendly to the United States, recognized as such an attack by the Secretary of the Army, or jointly by the Secretaries of the separate armed services concerned if persons from more than one service are wounded in the attack. After March 28, 1973, it may be awarded as a result of military operations while serving outside the territory of the United States as part of a peacekeeping force."
was cheryl blossom in the original archie comics,True,"Cheryl Blossom was introduced in 1982 in Betty and Veronica #320 as a third love interest for Archie Andrews, but she and her twin brother Jason disappeared two years later. One of the reasons she disappeared at first was because she was deemed too sexual for a children's comic."
can a copyright be renewed once it expires,True,"Copyright renewal has largely lost its significance for works copyrighted in the US in 1964 or after due to the Copyright Renewal Act of 1992. This law removed the requirement that a second term of copyright protection is contingent on a renewal registration. The effect was that any work copyrighted in the US in 1964 or after had a copyright term of 75 years, whether or not a formal copyright renewal was filed. There are some legal reasons for filing such renewal registrations. A further amendment to US copyright law in 1998 extended the total term of protection to 95 years, which now applies to all works copyrighted in 1964 or after."
are you allowed to own guns in england,True,"Members of the public may own sporting rifles and shotguns, subject to licensing, but handguns were effectively banned after the Dunblane school massacre in 1996 with the exception of Northern Ireland. Dunblane was the UK's first and only school shooting. There has been one spree killing since Dunblane, in June 2010 involving a legally owned shotgun."
was the movie the wizard of oz always in color,True,"Legendary for its use of Technicolor, fantasy storytelling, musical score, and memorable characters, it has become an icon of American popular culture. It was nominated for six Academy Awards, including Best Picture, but lost to Gone with the Wind. It did win in two other categories, including Best Original Song for ``Over the Rainbow'' and Best Original Score by Herbert Stothart. While the film was considered a critical success upon release in August 1939, it failed to make a profit for MGM until the 1949 rerelease, earning only $3,017,000 on a $2,777,000 budget, not including promotional costs, which made it MGM's most expensive production to that time."
if a polygon has equal sides does it have equal angles,True,"In Euclidean geometry, a regular polygon is a polygon that is equiangular (all angles are equal in measure) and equilateral (all sides have the same length). Regular polygons may be convex or star. In the limit, a sequence of regular polygons with an increasing number of sides approximates a circle, if the perimeter is fixed, or a regular apeirogon, if the edge length is fixed."
is there a sequel to the amazing spider man,True,"The Amazing Spider-Man 2 (also released as The Amazing Spider-Man 2: Rise of Electro in some markets) is a 2014 American superhero film featuring the Marvel Comics character Spider-Man. The film was directed by Marc Webb and was produced by Avi Arad and Matt Tolmach. It is the fifth theatrical Spider-Man film produced by Columbia Pictures and Marvel Entertainment, and is the sequel to 2012's The Amazing Spider-Man. It is also the second and final film in The Amazing Spider-Man franchise. The studio hired James Vanderbilt to write the screenplay and Alex Kurtzman and Roberto Orci to rewrite it. The film stars Andrew Garfield as Peter Parker / Spider-Man, Emma Stone as Gwen Stacy, Dane DeHaan as Green Goblin / Harry Osborn, Campbell Scott and Embeth Davidtz as Peter's parents, and Sally Field as Aunt May, with the addition of Paul Giamatti as Rhino / Aleksei Sytsevich and Jamie Foxx as Electro / Max Dillon."
does a parallelogram have to have equal sides,True,"In Euclidean geometry, a parallelogram is a simple (non-self-intersecting) quadrilateral with two pairs of parallel sides. The opposite or facing sides of a parallelogram are of equal length and the opposite angles of a parallelogram are of equal measure. The congruence of opposite sides and opposite angles is a direct consequence of the Euclidean parallel postulate and neither condition can be proven without appealing to the Euclidean parallel postulate or one of its equivalent formulations."
did johnny depp play in 21 jump street,True,"The series provided a spark to Johnny Depp's nascent acting career, garnering him national recognition as a teen idol. Depp found this status irritating, but he continued on the series under his contract and was paid $45,000 per episode. Eventually he was released from his contract after the fourth season."
is everyone with a phd called a doctor,True,"Doctor is an academic title that originates from the Latin word of the same spelling and meaning. The word is originally an agentive noun of the Latin verb docēre (dɔˈkeːrɛ) 'to teach'. It has been used as an academic title in Europe since the 13th century, when the first Doctorates were awarded at the University of Bologna and the University of Paris. Having become established in European universities, this usage spread around the world. Contracted ``Dr'' or ``Dr.'', it is used as a designation for a person who has obtained a Doctorate (e.g. PhD). In many parts of the world it is also used by medical practitioners, regardless of whether or not they hold a doctoral-level degree."
can you have a wolf as a pet,True,"Wild wolves are sometimes kept as exotic pets, and in some rarer occasions, as working animals. Although closely related to domesticated dogs, wolves do not show the same tractability as dogs in living alongside humans, and generally, much more work is required in order to obtain the same amount of reliability. Wolves also need much more space than dogs, about 25 to 40 square kilometres (10 to 15 sq mi) so they can exercise."
is the head of the epa a cabinet position,True,"The Environmental Protection Agency is an independent agency of the United States federal government for environmental protection. President Richard Nixon proposed the establishment of EPA and it began operation on December 2, 1970, after Nixon signed an executive order. The order establishing the EPA was ratified by committee hearings in the House and Senate. The agency is led by its Administrator, who is appointed by the President and approved by Congress. The current acting Administrator following the resignation of Scott Pruitt is former Deputy Administrator Andrew Wheeler. The EPA is not a Cabinet department, but the Administrator is normally given cabinet rank."
is there a fairmont hotel in new orleans,False,"The Fairmont New Orleans was damaged during Hurricane Katrina August, 2005 and closed indefinitely. While some repair work was done, work was suspended in an incomplete state in March 2007 after preliminary estimates of the damage were revealed to have been greatly underestimated."
is there a new jurassic park film out,True,"Filming took place from February to July 2017 in the United Kingdom and Hawaii. Produced and distributed by Universal Pictures, Fallen Kingdom premiered in Madrid on May 21, 2018, and was released in the United States on June 22, 2018. The film has grossed over $1.2 billion worldwide, making it the third Jurassic film to pass the mark, the third highest-grossing film of 2018 and the 16th highest-grossing film of all time. It received mixed reviews from critics, who praised Pratt's performance, Bayona's direction, the visuals, the ``surprisingly dark moments'' and the inclusion of new dinosaurs, although many criticized the screenplay and felt the film added nothing new to the franchise, with some suggesting it had run its course. An untitled sequel is set to be released on June 11, 2021, with Trevorrow returning to direct."
is tokyo skytree is the tallest tower in the world,True,"The Tokyo Skytree, completed in February 2012, reaches a height of 634 m (2,080 ft), making it the tallest tower, and second-tallest free-standing structure in the world."
is armani exchange the same as giorgio armani,True,"Giorgio Armani S.P.A. (pronounced (ˈdʒordʒo arˈmaːni)) is an Italian luxury fashion house founded by Giorgio Armani which designs, manufactures, distributes and retails haute couture, ready-to-wear, leather goods, shoes, watches, jewelry, accessories, eyewear, cosmetics and home interiors. The brand markets these products under several labels: Giorgio Armani Privé, Giorgio Armani, Armani Collezioni, Emporio Armani (including EA7), AJ Armani Jeans, Armani Junior, and AX Armani Exchange. The brand utilizes the association of the Armani name with high-fashion, benefiting from its prestige in the fashion industry. In 2016, estimated sales of the company were around $2.65 billion. In 2017, Giorgio Armani announced that his company will close two of its fashion labels, Armani Collezioni and Armani Jeans, as part of the restructuring process for his company. While Armani Collezioni will merge back into the ``Giorgio Armani'' line, Armani Jeans will be mixed with the Emporio Armani line due to their similarities in styles and the use of the same brand logo."
will there be a series 3 of daredevil,True,"The third season of the American web television series Daredevil, which is based on the Marvel Comics character of the same name, follows Matt Murdock / Daredevil, a blind lawyer-by-day who fights crime at night. It is set in the Marvel Cinematic Universe (MCU), sharing continuity with the films and other television series of the franchise. The season is produced by Marvel Television in association with ABC Studios, with Erik Oleson serving as showrunner, and series creator Drew Goddard acting as consultant."
was the us in the last world cup,True,"The United States men's national soccer team has played in several World Cup finals, with their best result occurring during their first appearance at the 1930 World Cup, when the United States finished in third place. After the 1950 World Cup, in which the United States upset England in group play 1--0, the U.S. was absent from the finals until 1990. The United States has participated in every World Cup since 1990 until they failed to qualify for the 2018 competition after a loss to Trinidad and Tobago in 2017."
is new jersey the only state with jug handles,True,"The first mention of jughandles in the New York Times is on June 14, 1959, referring to jughandles having been built in New Jersey on US 46 in Montville, US 22 between North Plainfield and Bound Brook, and Route 35 at Monmouth Park Racetrack. By the beginning of 1960, New Jersey had 160 jughandles, most if not all standard before-intersection jughandles. The 160th one was on U.S. Route 1 between New Brunswick and Trenton."
is death note netflix based on the anime,True,"Death Note is a 2017 American neo-noir dark fantasy horror film loosely based on the Japanese manga of the same name created by Tsugumi Ohba and Takeshi Obata. The film is directed by Adam Wingard and written by Charles Parlapanides, Vlas Parlapanides and Jeremy Slater. The film stars Nat Wolff, Lakeith Stanfield, Margaret Qualley, Shea Whigham, Paul Nakauchi, Jason Liles and Willem Dafoe, and follows the story of a high school student named Light Turner, who finds a mysterious notebook known as ``Death Note''. He soon meets the demonic death god Ryuk who teaches him how to use the notebook and tells him that the book causes the death of anyone whose name is written within its pages."
are toad and captain toad the same person,True,"The Toads usually play assisting roles in the Mario franchise and its action games, such as Toadsworth introduced in Super Mario Sunshine and the Toad Brigade association in Super Mario Galaxy. Despite this, Toads also play the role as heroes in some games. Such a case included the 2 Toads (yellow and blue) who were featured as playable characters along with Mario and Luigi in New Super Mario Bros. Wii. The 2 Toads (yellow and blue) return as playable characters later on in New Super Mario Bros. U as well as New Super Luigi U. Toad himself (in a blue palette in reference to his original sprite from Super Mario Bros. 2) returns as one of the playable characters in Super Mario 3D World. The Wii U title Captain Toad: Treasure Tracker cast Captain Toad into the spotlight; thus, marking it as the first game in 20 years since Wario's Woods to have a Toad as the main star as well as the first title to have Toad as the titular character."
how long has the great pyramid of giza been around,False,"Based on a mark in an interior chamber naming the work gang and a reference to fourth dynasty Egyptian Pharaoh Khufu, Egyptologists believe that the pyramid was built as a tomb over a 10 to 20-year period concluding around 2560 BC. Initially at 146.5 metres (481 feet), the Great Pyramid was the tallest man-made structure in the world for more than 3,800 years. Originally, the Great Pyramid was covered by casing stones that formed a smooth outer surface; what is seen today is the underlying core structure. Some of the casing stones that once covered the structure can still be seen around the base. There have been varying scientific and alternative theories about the Great Pyramid's construction techniques. Most accepted construction hypotheses are based on the idea that it was built by moving huge stones from a quarry and dragging and lifting them into place."
is nutritional yeast the same as nutritional yeast seasoning,True,"Nutritional yeast has a strong flavor that is described as nutty, cheesy, or creamy, which makes it popular as an ingredient in cheese substitutes. It is often used by vegans in place of cheese, for example in mashed and fried potatoes, in ``scrambled'' tofu, or as a topping for popcorn."
do they have a baby in king of queens,True,"The episode fast-forwards one year and shows Doug and Carrie with their two small children in their living room. Arthur comes in with a suitcase, announcing that ``it didn't work out.''"
are lobster and shrimp in the same family,True,"Crustaceans (Crustacea /krʌˈsteɪʃə/) form a large, diverse arthropod taxon which includes such familiar animals as crabs, lobsters, crayfish, shrimp, krill, woodlice, and barnacles. The crustacean group is usually treated as a subphylum, and thanks to recent molecular studies it is now well accepted that the crustacean group is paraphyletic, and comprises all animals in the Pancrustacea clade other than hexapods. Some crustaceans are more closely related to insects and other hexapods than they are to certain other crustaceans."
is the st louis arch a national monument,True,"The Gateway Arch National Park, formerly known as the Jefferson National Expansion Memorial until 2018, is an American national park located in St. Louis, Missouri, near the starting point of the Lewis and Clark Expedition. The Gateway Arch and its immediate surroundings were initially designated as a national memorial by executive order 7523 on December 21, 1935, and redesignated as a national park in 2018. The park is maintained by the National Park Service (NPS)."
does switzerland train every citizen to use a gun,False,"The Swiss army has long been a militia trained and structured to rapidly respond against foreign aggression. Swiss males grow up expecting to undergo basic military training, usually at age 20 in the recruit school, the basic-training camp, after which Swiss men remain part of the ``militia'' in reserve capacity until age 30 (age 34 for officers)."
are there any flights from india to pakistan,True,"As of 2017, Pakistan International Airlines (PIA) operates a twice a week Non-stop Flight from Lahore to Delhi. No Indian air carrier operates between the two countries. But for the Delhi to Lahore flight, tickets cannot be booked online. To book tickets, proper permission is needed from both the Indian Government and the Pakistani Government."
is there any land at the south pole,True,"The Geographic South Pole is located on the continent of Antarctica (although this has not been the case for all of Earth's history because of continental drift). It sits atop a featureless, barren, windswept and icy plateau at an altitude of 2,835 metres (9,301 ft) above sea level, and is located about 1,300 km (800 mi) from the nearest open sea at Bay of Whales. The ice is estimated to be about 2,700 metres (9,000 ft) thick at the Pole, so the land surface under the ice sheet is actually near sea level."
can i carry a gun in tennessee without a permit,True,"A license is required to carry a loaded handgun either openly or concealed. Such permits are issued through the Department of Safety to qualified residents 21 years or 18 years old if the applicant is active duty, reservist, guardsman, or honorably discharged from their branch of service, DD-214 must mention 'pistol qualification' in order to be exempt from 8 hour safety course must have a valid military ID. The length of the term for the initial license is determined by the age of the applicant. If renewed properly and on time, the license is renewed every 8 years. Tennessee recognizes any valid, out-of-state permit for carrying a handgun as long as the permittee is not a resident of Tennessee. Nonresidents are not issued permits unless they are regularly employed in the state. Such persons are then required to obtain Tennessee permits even if they have home state permits unless their home state has entered into a reciprocity agreement with Tennessee. Permittees may carry handguns in most areas except civic centers, public recreation buildings and colleges. Businesses or landowners posting ``no carry'' signs may prohibit gun carry on any portion of their properties."
did ed sheeran write love yourself for justin,False,"On September 29, 2015, Justin Bieber announced in an interview with Australia's Sunrise morning show that British singer and songwriter Ed Sheeran had written a song for his then-upcoming album. Later, during an interview for Capital FM, Bieber revealed details about the song, saying: ``It's just me and a guitar. Basically that's how I started, playing on the street with a guitar.'' About Sheeran, he said: ``I think he's one of the most talented writers in the game right now, so just to have his input and his stories and our stories and match them up together and say 'What have you been through?,' and telling the same story.'' In another interview for the same radio network, he commented about the collaboration, stating: ``It was a process. Just getting us together, you know, in the same room cause we did a lot of it separate. He is a good guy, super talented. Really good songwriter so just to be able to work with that calibre of songwriter was really, really awesome.'' In 2017, Sheeran revealed that ``Love Yourself'' was written for his album ÷. He said in an interview that the track would have been scrapped before Bieber took the song."
why is my country tis of thee the same as god save the queen,True,"``My Country, 'Tis of Thee'', also known as ``America'', is an American patriotic song, whose lyrics were written by Samuel Francis Smith. The melody used is the same as that of the national anthem of the United Kingdom, ``God Save the Queen'', arranged by Thomas Arne. The song served as one of the de facto national anthems of the United States (along with songs like ``Hail, Columbia'') before the adoption of ``The Star-Spangled Banner'' as the official U.S. national anthem in 1931."
has a hurricane ever hit the california coast,True,"A California hurricane is a tropical cyclone that affects the state of California. Usually, only the remnants of tropical cyclones affect California. Since 1900, only two tropical storms have hit California, one by direct landfall from offshore, another after making landfall in Mexico."
does a cell phone work on a plane,True,"In the U.S., Federal Communications Commission (FCC) regulations prohibit the use of mobile phones aboard aircraft in flight. Contrary to popular misconception, the Federal Aviation Administration (FAA) does not actually prohibit the use of personal electronic devices (including cell phones) on aircraft. Paragraph (b)(5) of 14 CFR 91.21 leaves it up to the airlines to determine if devices can be used in flight, allowing use of ``Any other portable electronic device that the operator of the aircraft has determined will not cause interference with the navigation or communication system of the aircraft on which it is to be used.''"
is there a playoff in the british open,False,"The Open is a 72-hole stroke play tournament contested over four days, Thursday through Sunday. Since 1979 it has been played in the week which includes the 3rd Friday in July. Currently, 156 players are in the field, mostly made up of the world's leading professionals, who are given exemptions, along with winners of the top amateur championships. Further places are given to players, amateurs and professionals, who are successful in a number of qualifying events. There is a cut after 36 holes after which only the leading 70 players (and ties) play in the final 36 holes on the weekend. In the event of a tie after 72 holes, a four-hole aggregate playoff is held; if two or more players are still tied, it continues as sudden-death until there is a winner."
did willow smith play in i am legend,True,"Flashbacks reveal that his wife (Salli Richardson) and daughter (Willow Smith) died in a helicopter accident during the chaotic evacuation of Manhattan, prior to the military-enforced quarantine of the island in 2009, when Neville stayed behind on the island as military personnel. Neville's only mitigation for his loneliness is his German Shepherd named Samantha, a.k.a. Sam (given to him by his daughter as a puppy to protect him before she died in the helicopter crash), interaction with mannequins he has set up as patrons at a video store, and recordings of old television broadcasts. At night, he barricades himself and Sam inside his heavily fortified Washington Square Park home to hide from the Darkseekers. One day, while waiting for survivors, Sam follows a deer into a dark building. Neville cautiously goes in after her and finds the deer's corpse along with Sam, but the building is infested by a colony of Darkseekers. Both manage to escape unharmed and the attacking Darkseekers are killed by the sunlight."
when driving on a national road is it permitted to drive on the hard shoulder,True,"Full-width hard shoulders are provided on most new, upgraded (from the 1980s onwards), and major national roads in the Republic of Ireland, especially on wide two-lane and dual-carriageway roads (the shoulders on most 2+1 roads are narrow however). They are defined within the official document the Rules of the Road as a part of the road that should normally only be used by cyclists and pedestrians. Their provision of on interurban routes in the 1970s reportedly resulted in a 50% decrease in accidents involving pedal cyclists."
can i fire blanks in a real gun,True,"For movie use, specially designed blank-firing firearms are often used, which increases the margin of safety as they cannot be loaded with live ammunition. 5-in-1 blanks are specifically made for theatrical use and are commonly used in real firearms for dramatic effect. 5-in-1 blanks can function in a variety of different calibres, hence the name."
is there going to be another season of iron fist,True,"The season will be released on September 7, 2018."
are they making another 28 days later movie,True,"Successful both commercially and critically, the film is credited with reinvigorating the zombie genre of horror film. The film spawned a 2007 sequel, 28 Weeks Later, a graphic novel titled 28 Days Later: The Aftermath, which expands on the timeline of the outbreak, and a 2009 comic book series titled 28 Days Later. In 2017 a poll of 150 actors, directors, writers, producers and critics for Time Out magazine ranked it the 97th best British film ever."
is sara dead in prison break season 3,True,"In this season, standbys are used to portray the character, including Katie A. Keane in the photographs for the episode ``Call Waiting''. She is revealed to have been kidnapped by The Company, and is said in ``Good Fences'' to have been murdered in response to a failed rescue attempt. She was decapitated and her head was sent to Lincoln Burrows in a box. Michael swears to avenge her death."
did he get the michelin star in burnt,True,"Adam changes the way he runs the kitchen. He listens to Helene and Max's input, and is more supportive of David. When the real Michelin reviewers come to the Langham, he works with the other chefs, especially Helene, to serve a superb meal and receive their third star. The film ends with Adam finally sharing a meal with his cooks and a few laughs."
st vincent and the grenadines ambassador to the united states,True,"The United States Ambassador to Saint Vincent and the Grenadines is the official representative of the government of the United States to the government of Saint Vincent and the Grenadines. The ambassador is the United States Ambassador to Barbados and the Eastern Caribbean, resident in Bridgetown, Barbados, and is concurrently the ambassador to Antigua and Barbuda, Barbados, Dominica, Grenada, St. Kitts and Nevis, and St. Lucia."
was d day the largest invasion in history,False,"The Normandy landings were the landing operations on Tuesday, 6 June 1944 of the Allied invasion of Normandy in Operation Overlord during World War II. Codenamed Operation Neptune and often referred to as D-Day, it was the largest seaborne invasion in history. The operation began the liberation of German-occupied France (and later Europe) from Nazi control, and laid the foundations of the Allied victory on the Western Front."
does the a train go to howard beach,False,"The Howard Beach route begins and ends at Howard Beach--JFK Airport, with a direct transfer to the New York City Subway's IND Rockaway Line (A train). It also stops at Lefferts Boulevard for transfers to shuttle bus service to long term parking lots A and B and to the airport employee parking lot, as well as to the B15 bus to Brooklyn. The line segment from Howard Beach to Federal Circle, which crosses the employee and long-term parking lots, is about 1.8 miles (2.9 km) long."
can the marginal product of capital be negative,True,"In the ``law'' of diminishing marginal returns, the marginal product initially increases when more of an input (say labor) is employed, keeping the other input (say capital) constant. Here, labor is the variable input and capital is the fixed input (in a hypothetical two-inputs model). As more and more of variable input (labor) is employed, marginal product starts to fall. Finally, after a certain point, the marginal product becomes negative, implying that the additional unit of labor has decreased the output, rather than increasing it. The reason behind this is the diminishing marginal productivity of labor."
is pasadena in the city of los angeles,True,"Pasadena is a city in Los Angeles County, California, United States, located 10 miles (16 kilometers) northeast of Downtown Los Angeles."
were jughead and betty together in the comics,False,"Archie Comics trademarked the term 'Bughead', the name created by fans of the relationship between Betty and Jughead in both comics and the CW Riverdale. Betty and Jughead are canon, romantically, so far only in the 'Riverdale' universe, though Archie Comics has introduced their sleuthing relationship and subsequent ship name (#bughead) into their run of Riverdale comics."
is it golden goal in extra time world cup,True,"The first golden goal recorded was on 13 March 1993 by Australia against Uruguay in a quarter-final match of the World Youth Championship. The first major tournament final to be decided by such a goal was the 1995 Football League Trophy, where Birmingham City beat Carlisle United 1--0, with a goal from Paul Tait, followed by the 1996 European Championship final, won by Germany over the Czech Republic. The golden goal in this final was scored by Oliver Bierhoff. The first golden goal in World Cup history took place in 1998, as Laurent Blanc scored to enable France to defeat Paraguay in the Round of 16."
in most cases does als affect the brain,True,"ALS itself can be classified a few different ways: by how fast the disease progresses (slow vs fast progressors), by whether it is inherited or sporadic, and by where it starts. Most commonly (~70% of the time) the limbs are affected first. In this case, neurons in the brain (upper motor neurons) and in the spinal cord (lower motor neurons) are dying and this form is called ``limb onset''. In about 25% of cases, muscles in the face, mouth, and throat are affected first because motor neurons in the part of the brain stem called the medulla oblongata (formerly called the ``bulb'') start to die first along with lower motor neurons. This form is called ``bulbar onset''. In about 5% of cases muscles in the trunk of the body are affected first. In all cases the disease spreads and affects other regions. The symptoms may also be limited to one spinal region."
is zen and the art of motorcycle maintenance fiction,False,"Zen and the Art of Motorcycle Maintenance: An Inquiry into Values (ZAMM), by Robert M. Pirsig, is a book that was first published in 1974. It is a work of fictionalized autobiography, and is the first of Pirsig's texts in which he explores his Metaphysics of Quality."
can chemo be used for non cancerous tumors,True,"Some benign tumors need no treatment; others may be removed if they cause problems such as seizures, discomfort or cosmetic concerns. Surgery is usually the most effective approach and is used to treat most benign tumors. In some case other treatments may be of use. Adenomas of the rectum may be treated with sclerotherapy, a treatment in which chemicals are used to shrink blood vessels in order to cut off the blood supply. Most benign tumors do not respond to chemotherapy or radiation therapy, although there are exceptions; benign intercranial tumors are sometimes treated with radiation therapy and chemotherapy under certain circumstances. Radiation can also be used to treat hemangiomas in the rectum. Benign skin tumors are usually surgically resected but other treatments such as cryotherapy, curettage, electrodesiccation, laser therapy, dermabrasion, chemical peels and topical medication are used."
can you buy beer on sunday in pa,True,"Pennsylvania is an alcoholic beverage control state. Spirits are to be sold only in the state owned Fine Wine and Good Spirits stores, which also sell wine, but not beer. Prices are generally the same throughout the state, but state stores may offer special discounts and sales, and county sales tax may cause the price to differ slightly. People under the age of 21 are allowed to enter Fine Wine and Good Spirits stores, contrary to popular belief, but only if accompanied by a parent or guardian. Monday through Saturday, a store may open as early as 9 am and close as late as 10 pm. On Sunday, many stores sell liquor from 11 am until 7 pm."
is birth record the same as birth certificate,False,"The actual record of birth is stored with a government agency. That agency will issue certified copies or representations of the original birth record upon request, which can be used to apply for government benefits, such as passports. The certification is signed and/or sealed by the registrar or other custodian of birth records, who is commissioned by the government."
is shepherd's pie the same as cottage pie,True,Shepherd's pie or cottage pie is a meat pie with a crust or topping of mashed potato.
can states be divided up to form other states or can two or more states join to make a larger state,True,"New States may be admitted by the Congress into this Union; but no new State shall be formed or erected within the Jurisdiction of any other State; nor any State be formed by the Junction of two or more States, or Parts of States, without the Consent of the Legislatures of the States concerned as well as of the Congress."
is nottingham airport the same as east midlands airport,True,"East Midlands Airport (IATA: EMA, ICAO: EGNX) is an international airport in the East Midlands of England, located in Leicestershire close to Castle Donington. It lies between Loughborough (10 miles (16 km)) and the cities of Derby (12.5 miles (20 km)) and Nottingham (14 miles (23 km)) with the city of Leicester located at a distance of some (20 miles (32 km)) to the south."
do you taste with different parts of your tongue,False,"The tongue map or taste map is a common misconception that different sections of the tongue are exclusively responsible for different basic tastes. It is illustrated with a schematic map of the tongue, with certain parts of the tongue labeled for each taste. Although widely taught in schools, this was scientifically disproven by later research; all taste sensations come from all regions of the tongue, although different parts are more sensitive to certain tastes."
can i conceal carry in new mexico with a texas license,True,"New Mexico is a Shall-Issue state for the concealed carry of handguns, and permits the open carry of loaded firearms without a permit. A New Mexico Concealed Handgun License (CHL) is required by in-state residents to carry in a concealed manner a loaded handgun while on foot. Per state law, a firearm is considered ``loaded'' when a magazine with live ammunition is inserted into the weapon and/or a live round is in the firing chamber. (citation needed) Additionally, state law (NMSA 29-19-2) defines a concealed handgun as ``a loaded handgun that is not visible to the ordinary observations of a reasonable person.'' This definition creates legal ambiguity for partially-exposed weapons, as the firearm may be visible to one person and thus no violation of law occurs since it would be viewed as open carry. However, the same partially-exposed weapon may not be readily visible to a second person, thus potentially placing the carrying person in violation of the state's concealed carry law if the individual carrying does not have a valid license for concealed carry. A CHL is not required for open carry, concealed carry of an unloaded firearm on foot, or concealed carry of a loaded or unloaded firearm while in a vehicle (including motorcycles, bicycles, off-road vehicles, motor homes, or riding a horse). An applicant for a concealed carry permit must be a resident of New Mexico and at least 21 years of age. Each permit specifies the category and caliber of handgun that may be carried, but is also valid for a smaller caliber. The applicant must complete a state approved training course that includes at least 15 hours of classroom and firing range time, and must pass a shooting proficiency test for that category and caliber of handgun. A permit is valid for four years, but license holders must pass the shooting proficiency test every two years. An applicant may appeal the denial of a Concealed Handgun License by requesting a hearing before the Department of Public Safety within 35 days of receipt of an Order of Denial for a CHL. An unfavorable ruling on the appeal by the DPS may be further appealed through the New Mexico courts. New Mexico currently recognizes concealed carry permits from or has reciprocal agreements with the following states: Alaska, Arizona, Arkansas, Colorado, Delaware, Florida, Idaho, Kansas, Louisiana, Michigan, Mississippi, Missouri, Nebraska, Nevada, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia, and Wyoming. New Mexico does not issue CCW permits to non-residents, except for Active Duty military members permanently assigned to a military installation within the state. Part-time residents with a valid New Mexico ID or Driver's license may apply for a New Mexico CHL. New Mexico does not recognize out-of-state nonresident permits held by in-state residents for concealed carry; in other words, New Mexico residents must hold a New Mexico CHL to lawfully carry a concealed, loaded handgun while on foot within the state."
is a mule a donkey and a horse,True,"A mule is the offspring of a male donkey (jack) and a female horse (mare). Horses and donkeys are different species, with different numbers of chromosomes. Of the two F1 hybrids (first generation hybrids) between these two species, a mule is easier to obtain than a hinny, which is the offspring of a female donkey (jenny) and a male horse (stallion)."
